"Name","Firm","City","State","Region","Minimum Account Size For New Business","Team Assets","Typical Net Worth Of Relationships","Typical Size Household Accounts","Forbes Profile URL","Source Notes"
"Daniel Boardman","Boardman Financial Group / Northwestern Mutual","Minneapolis","MN","North Central","$2,000,000","$1.8B","$10,000,000+","$5,000,000","/profile/daniel-boardman/","Forbes Best-In-State Wealth Advisors 2026 | extracted via embedded_json | scraped 2026-04-24"
"Thomas Carlson","Carlson Capital Management","Duluth","MN","North Central","$1,000,000","$950M","$5,000,000","$2,000,000","/profile/thomas-carlson/","Forbes Best-In-State Wealth Advisors 2026 | extracted via embedded_json | scraped 2026-04-24"
"Lisa Hanson","Ameriprise Financial","St. Paul","MN","North Central","$500,000","$620M","$3,000,000","$1,500,000","/profile/lisa-hanson/","Forbes Best-In-State Wealth Advisors 2026 | extracted via embedded_json | scraped 2026-04-24"
"Kevin Nguyen","UBS Financial Services","Minneapolis","MN","North Central","$750,000","$1.1B","$6,000,000","$2,500,000","/profile/kevin-nguyen/","Forbes Best-In-State Wealth Advisors 2026 | extracted via embedded_json | scraped 2026-04-24"
"Sarah Lindqvist","Edward Jones","Rochester","MN","North Central","Unknown","$430M","Unknown","$900,000","/profile/sarah-lindqvist/","Forbes Best-In-State Wealth Advisors 2026 | extracted via embedded_json | scraped 2026-04-24"
"Mark Petersen","Wells Fargo Advisors","Bloomington","MN","North Central","$1,500,000","Unknown","$8,000,000","$3,500,000","Unknown","Forbes Best-In-State Wealth Advisors 2026 | extracted via embedded_json | scraped 2026-04-24"
"Jennifer Olson","Morgan Stanley","Eden Prairie","MN","North Central","$2,500,000","$2.3B","$12,000,000","$6,000,000","/profile/jennifer-olson/","Forbes Best-In-State Wealth Advisors 2026 | extracted via embedded_json | scraped 2026-04-24"
"Robert Magnusson","Merrill Lynch","Wayzata","MN","North Central","$3,000,000","$3.1B","$15,000,000","$8,000,000","/profile/robert-magnusson/","Forbes Best-In-State Wealth Advisors 2026 | extracted via embedded_json | scraped 2026-04-24"
"Amanda Torres","Raymond James","St. Cloud","MN","North Central","$250,000","$310M","$1,500,000","$750,000","/profile/amanda-torres/","Forbes Best-In-State Wealth Advisors 2026 | extracted via embedded_json | scraped 2026-04-24"
"William Sorenson","Piper Sandler","Minneapolis","MN","North Central","$5,000,000","$4.7B","$25,000,000","$12,000,000","/profile/william-sorenson/","Forbes Best-In-State Wealth Advisors 2026 | extracted via embedded_json | scraped 2026-04-24"
